O,D,value
1,2,347.31
1,3,390.81
1,4,204.51
1,5,373.73
1,6,199.7
1,7,119.69
1,8,96.23
1,9,39.53
1,10,75.72
1,11,24.02
1,12,27.71
1,13,32.98
1,14,124.31
1,15,72.66
1,16,124.83
1,17,311.17
1,18,157
1,19,32.43
1,20,13.38
1,21,17.47
1,22,22.14
1,23,39.32
1,24,13.59
1,25,8.44
1,26,13.43
1,27,8.38
1,28,32.99
1,29,28.07
1,32,5.58
1,35,5.5
1,36,8.53
1,37,30.51
1,43,4.48
1,45,6.22
1,46,4.91
1,47,24.92
1,48,14.87
1,49,26.4
1,50,17.29
1,51,9.33
1,52,106.99
1,53,67.93
1,62,4.81
1,64,21.17
1,66,27.46
1,67,8.76
1,68,44.35
1,69,29.7
1,70,131.34
1,71,67.65
1,72,396.95
1,73,233.74
1,74,256.33
1,75,141.39
1,76,41.81
1,77,23.87
1,78,33.99
1,79,32.1
1,80,18.57
1,81,6.66
1,82,5.7
1,84,9.05
1,85,11.07
1,133,7.9
1,135,5.17
1,147,7.65
1,232,9.24
1,233,4.77
1,387,24
2,1,309.92
2,3,285.29
2,4,376.17
2,5,357.84
2,6,380.31
2,7,226.02
2,8,188.72
2,9,80.84
2,10,145.4
2,11,44.49
2,12,53.06
2,13,47.33
2,14,231.95
2,15,96.14
2,16,122.81
2,17,293.81
2,18,151.95
2,19,30.39
2,20,22.08
2,21,16.4
2,22,17.7
2,23,41.3
2,24,15.07
2,25,9.21
2,26,15.01
2,27,8.06
2,28,34.28
2,29,27.21
2,30,4.59
2,31,5.09
2,32,4.53
2,34,4.92
2,36,8.48
2,37,59.98
2,41,7.97
2,43,9.86
2,45,10.81
2,46,7.91
2,47,41.85
2,48,22.63
2,49,39.99
2,50,27.04
2,51,14.45
2,52,102.54
2,53,95.08
2,58,10.26
2,62,6.28
2,63,8.31
2,64,46.74
2,66,49.29
2,67,19.56
2,68,85.35
2,69,57.55
2,70,222.5
2,71,121.59
2,72,737.68
2,73,425.83
2,74,191.45
2,75,109.11
2,76,75.72
2,77,43.19
2,78,62.02
2,79,67.21
2,80,32.67
2,81,16.12
2,82,11.27
2,84,17.89
2,85,18.5
2,133,11.62
2,134,5.1
2,135,10.2
2,136,7.88
2,145,7.57
2,147,12.15
2,148,5.94
2,232,14.18
2,233,10.02
3,1,344.35
3,2,283.96
3,4,785.32
3,5,1434.07
3,6,205.1
3,7,419.9
3,8,108.55
3,9,63.84
3,10,260.09
3,11,77.65
3,12,107.97
3,13,111.07
3,14,471.9
3,15,268.27
3,16,474.02
3,17,1200.94
3,18,585.87
3,19,112.76
3,20,50.19
3,21,63.36
3,22,79.89
3,23,147.34
3,24,43.13
3,25,24.64
3,26,50.52
3,27,35.35
3,28,118.17
3,29,93.88
3,30,10.57
3,31,12.77
3,32,10.3
3,33,9.26
3,34,20.01
3,35,18.94
3,36,20.08
3,37,35.54
3,41,6.37
3,43,5.38
3,46,6.23
3,47,18.95
3,48,17.76
3,49,21.6
3,50,15.74
3,51,7.33
3,52,78.87
3,53,45.12
3,58,8.54
3,62,7.83
3,63,6.57
3,64,30.75
3,66,22.85
3,67,8.4
3,68,36.7
3,69,34.54
3,70,93.01
3,71,51.29
3,72,335.19
3,73,177.23
3,74,215.03
3,75,124.1
3,76,68.58
3,77,34.57
3,78,55.12
3,79,34.6
3,80,30.53
3,81,23.23
3,82,17.56
3,84,30.14
3,85,44.87
3,86,9.85
3,87,4.78
3,90,5.01
3,91,7.7
3,97,6.13
3,133,9.77
3,135,7.36
3,136,7.31
3,145,5.92
3,147,9.38
3,148,5.75
3,232,5.95
3,233,5.26
3,387,16
4,1,181.39
4,2,339.07
4,3,760.5
4,5,994.14
4,6,276.14
4,7,570.64
4,8,140.65
4,9,88.68
4,10,362.74
4,11,105.63
4,12,148.17
4,13,132.6
4,14,655.87
4,15,266.01
4,16,354.41
4,17,815.46
4,18,413.57
4,19,80.63
4,20,51.44
4,21,46.37
4,22,52.01
4,23,110.36
4,24,35.79
4,25,19.45
4,26,38.71
4,27,25.92
4,28,83.55
4,29,63.97
4,30,10.72
4,31,10.19
4,32,10.53
4,34,15.68
4,35,17.97
4,36,13.39
4,37,50.7
4,41,14.95
4,43,7.94
4,45,7.63
4,47,19.42
4,48,19.53
4,49,26.21
4,50,16.99
4,51,6.25
4,52,50.22
4,53,43.52
4,58,11.62
4,63,9.67
4,64,46.47
4,65,5.02
4,66,31.18
4,67,14.7
4,68,49.09
4,69,41.88
4,70,107.86
4,71,67.05
4,72,382.34
4,73,245.78
4,74,111.61
4,75,66.73
4,76,76.64
4,77,48.64
4,78,71.82
4,79,48.52
4,80,43.26
4,81,25.73
4,82,19.29
4,83,5.34
4,84,39.57
4,85,53.34
4,86,8.41
4,88,5.37
4,90,5.52
4,91,6.14
4,97,5.42
4,133,15.81
4,135,12.22
4,136,9.3
4,145,6.59
4,147,13.8
4,148,8.36
4,232,8.51
4,233,4.63
4,379,5
4,381,9
4,382,11
5,1,261.61
5,2,268.06
5,3,1116.04
5,4,828.44
5,6,217.82
5,7,454.89
5,8,171.78
5,9,111.67
5,10,440.5
5,11,196.41
5,12,260.68
5,13,294.63
5,14,1094.16
5,15,699.68
5,16,1232.86
5,17,3059.89
5,18,1505.47
5,19,285.5
5,20,133.89
5,21,165.4
5,22,201.67
5,23,376.42
5,24,108.78
5,25,64.75
5,26,126.96
5,27,83.26
5,28,290.63
5,29,216.07
5,30,33.61
5,31,38.24
5,32,26.89
5,33,18.24
5,34,48.29
5,35,62.25
5,36,51.35
5,37,54.15
5,41,17.08
5,43,8.67
5,44,6.8
5,45,9.2
5,46,8.39
5,47,25.57
5,48,22.09
5,49,25.43
5,50,19.28
5,52,50.44
5,53,43.29
5,58,12.87
5,62,8.31
5,63,11.92
5,64,62.97
5,66,27.55
5,67,16.87
5,68,55.38
5,69,62.74
5,70,78.41
5,71,67.14
5,72,270.28
5,73,220.86
