O,D,value
1,2,347.31
1,3,390.81
1,4,204.51
1,5,373.73
1,6,199.7
1,7,119.69
1,8,96.23
1,9,39.53
1,10,75.72
1,11,24.02
1,12,27.71
1,13,32.98
1,14,124.31
1,15,72.66
1,16,124.83
1,17,311.17
1,18,157
1,19,32.43
1,21,17.47
1,22,22.14
1,23,39.32
1,28,32.99
1,29,28.07
1,37,30.51
1,47,24.92
1,49,26.4
1,50,17.29
1,52,106.99
1,53,67.93
1,64,21.17
1,66,27.46
1,68,44.35
1,69,29.7
1,70,131.34
1,71,67.65
1,72,396.95
1,73,233.74
1,74,256.33
1,75,141.39
1,76,41.81
1,77,23.87
1,78,33.99
1,79,32.1
1,80,18.57
1,387,24
2,1,309.92
2,3,285.29
2,4,376.17
2,5,357.84
2,6,380.31
2,7,226.02
2,8,188.72
2,9,80.84
2,10,145.4
2,11,44.49
2,12,53.06
2,13,47.33
2,14,231.95
2,15,96.14
2,16,122.81
2,17,293.81
2,18,151.95
2,19,30.39
2,20,22.08
2,21,16.4
2,22,17.7
2,23,41.3
2,28,34.28
2,29,27.21
2,37,59.98
2,47,41.85
2,48,22.63
2,49,39.99
2,50,27.04
2,52,102.54
2,53,95.08
2,64,46.74
2,66,49.29
2,67,19.56
2,68,85.35
2,69,57.55
2,70,222.5
2,71,121.59
2,72,737.68
2,73,425.83
2,74,191.45
2,75,109.11
2,76,75.72
2,77,43.19
2,78,62.02
2,79,67.21
2,80,32.67
2,81,16.12
2,84,17.89
2,85,18.5
3,1,344.35
3,2,283.96
3,4,785.32
3,5,1434.07
3,6,205.1
3,7,419.9
3,8,108.55
3,9,63.84
3,10,260.09
3,11,77.65
3,12,107.97
3,13,111.07
3,14,471.9
3,15,268.27
3,16,474.02
3,17,1200.94
3,18,585.87
3,19,112.76
3,20,50.19
3,21,63.36
3,22,79.89
3,23,147.34
3,24,43.13
3,25,24.64
3,26,50.52
3,27,35.35
3,28,118.17
3,29,93.88
3,34,20.01
3,35,18.94
3,36,20.08
3,37,35.54
3,47,18.95
3,48,17.76
3,49,21.6
3,52,78.87
3,53,45.12
3,64,30.75
3,66,22.85
3,68,36.7
3,69,34.54
3,70,93.01
3,71,51.29
3,72,335.19
3,73,177.23
3,74,215.03
3,75,124.1
3,76,68.58
3,77,34.57
3,78,55.12
3,79,34.6
3,80,30.53
3,81,23.23
3,82,17.56
3,84,30.14
3,85,44.87
3,387,16
4,1,181.39
4,2,339.07
4,3,760.5
4,5,994.14
4,6,276.14
4,7,570.64
4,8,140.65
4,9,88.68
4,10,362.74
4,11,105.63
4,12,148.17
4,13,132.6
4,14,655.87
4,15,266.01
4,16,354.41
4,17,815.46
4,18,413.57
4,19,80.63
4,20,51.44
4,21,46.37
4,22,52.01
4,23,110.36
4,24,35.79
4,25,19.45
4,26,38.71
4,27,25.92
4,28,83.55
4,29,63.97
4,35,17.97
4,37,50.7
4,47,19.42
4,48,19.53
4,49,26.21
4,50,16.99
4,52,50.22
4,53,43.52
4,64,46.47
4,66,31.18
4,68,49.09
4,69,41.88
4,70,107.86
4,71,67.05
4,72,382.34
4,73,245.78
4,74,111.61
4,75,66.73
4,76,76.64
4,77,48.64
4,78,71.82
4,79,48.52
4,80,43.26
4,81,25.73
4,82,19.29
4,84,39.57
4,85,53.34
5,1,261.61
5,2,268.06
5,3,1116.04
5,4,828.44
5,6,217.82
5,7,454.89
5,8,171.78
5,9,111.67
5,10,440.5
5,11,196.41
5,12,260.68
5,13,294.63
5,14,1094.16
5,15,699.68
5,16,1232.86
5,17,3059.89
5,18,1505.47
5,19,285.5
5,20,133.89
5,21,165.4
5,22,201.67
5,23,376.42
5,24,108.78
5,25,64.75
5,26,126.96
5,27,83.26
5,28,290.63
5,29,216.07
5,30,33.61
5,31,38.24
5,32,26.89
5,33,18.24
5,34,48.29
5,35,62.25
5,36,51.35
5,37,54.15
5,41,17.08
5,47,25.57
5,48,22.09
5,49,25.43
5,50,19.28
5,52,50.44
5,53,43.29
5,64,62.97
5,66,27.55
5,67,16.87
5,68,55.38
5,69,62.74
5,70,78.41
5,71,67.14
5,72,270.28
5,73,220.86
5,74,135.86
5,75,84.25
5,76,122.73
5,77,61.68
5,78,98.63
5,79,58.82
5,80,85.16
5,81,49.1
5,82,41.54
5,84,78.01
5,85,120.05
5,86,21.45
5,91,23.05
5,133,21.27
5,147,27.37
5,382,18
5,387,49
6,1,123.7
6,2,254.3
6,3,165.09
6,4,209.32
6,5,216.23
6,7,351.71
6,8,285.72
6,9,125.46
6,10,230.38
6,11,66.25
6,12,70.33
6,13,60.92
6,14,286.28
6,15,111.02
6,16,157.8
6,17,177.11
6,18,106.81
6,19,18.67
6,20,21.27
6,21,20.65
6,22,16.54
6,23,40.15
6,24,16.13
6,26,17.02
6,28,23.98
6,29,17.59
6,37,95.7
6,45,16.62
6,47,46.25
6,48,29.92
6,49,60.78
6,50,33.13
6,52,65.39
6,53,80.59
6,64,62.48
6,66,67.29
6,67,27.27
6,68,119.28
6,69,78.51
6,70,147.69
6,71,160.86
6,72,500.97
6,73,562.4
6,74,102.87
6,75,59.38
6,76,126.12
6,77,67.77
6,78,99.82
6,79,107.31
6,80,53.57
6,81,21.75
6,84,26.97
6,85,25.08
6,133,18.87
6,135,19.09
6,147,18.6
7,1,105.98
7,2,203.38
7,3,416.72
7,4,568.43
7,5,553.1
7,6,452.69
7,8,255.27
7,9,166
7,10,668.01
7,11,189.88
7,12,191.2
7,13,167.51
7,14,834.81
7,15,327.78
7,16,439.67
7,17,508.71
7,18,274.59
7,19,54.35
7,20,59.71
7,21,54.87
7,22,35.57
7,23,107.33
7,24,35.16
7,25,21.03
7,26,40.66
7,27,21.98
7,28,54.06
7,29,43.32
7,36,16.96
7,37,98.92
7,41,18.8
7,47,35.03
7,48,24.59
7,49,40.27
7,50,26.05
7,52,43.16
7,53,56.63
7,64,68.82
7,66,46.25
7,67,22.39
7,68,90.86
